,invoice_id,line_item_id,user_id,item_id,item_name,item_category,price,created_at,paid_at
0,192320.0,83118.0,178481.0,3526.0,digital apparatus,apparatus,330.0,2017-06-28 21:14:25,2017-06-27 21:19:39
1,192320.0,207309.0,178481.0,1514.0,miniature apparatus cleaner,apparatus,99.0,2017-06-28 21:14:25,2017-06-27 21:19:39
2,192320.0,392027.0,178481.0,3712.0,miniature apparatus cleaner,apparatus,99.0,2017-06-28 21:14:25,2017-06-27 21:19:39
3,80902.0,243831.0,154133.0,3586.0,reflective instrument,instrument,57.2,2016-10-09 06:57:30,2016-10-07 10:08:10
4,80902.0,399806.0,154133.0,1061.0,extra-strength instrument charger,instrument,17.6,2016-10-09 06:57:30,2016-10-07 10:08:10
5,211144.0,19924.0,119514.0,550.0,miniature apparatus refill,apparatus,132.0,2016-07-25 08:01:15,2016-07-23 11:32:43
6,123735.0,154006.0,164581.0,982.0,miniature module carrying_case,module,33.0,2016-11-24 07:35:34,2016-11-26 20:52:06
7,123735.0,66700.0,164581.0,858.0,industrial-strength module,module,300.0,2016-11-24 07:35:34,2016-11-26 20:52:06
8,123735.0,321246.0,164581.0,3363.0,rechargable module cleaner,module,78.0,2016-11-24 07:35:34,2016-11-26 20:52:06
9,249245.0,292068.0,232806.0,2344.0,prize-winning tool,tool,27.500000000000004,2018-02-07 05:23:44,2018-02-08 19:07:55
10,249245.0,102116.0,232806.0,1596.0,reflective mechanism carrying_case,mechanism,11.7,2018-02-07 05:23:44,2018-02-08 19:07:55
11,249245.0,74700.0,232806.0,2423.0,extra-strength tool how-to-manual,tool,0.0,2018-02-07 05:23:44,2018-02-08 19:07:55
12,249245.0,151186.0,232806.0,2256.0,matte contraption storage_unit,contraption,781.25,2018-02-07 05:23:44,2018-02-08 19:07:55
13,174993.0,311128.0,90044.0,1637.0,extra-strength gadget,gadget,178.0,2015-12-08 11:00:14,2015-12-09 21:05:01
14,174993.0,273403.0,90044.0,3667.0,rechargable gadget,gadget,115.7,2015-12-08 11:00:14,2015-12-09 21:05:01
15,42209.0,25029.0,221881.0,1757.0,analog widget,widget,2.7,2017-11-15 19:55:48,2017-11-17 18:57:56
16,42209.0,339542.0,221881.0,467.0,organic widget,widget,4.5,2017-11-15 19:55:48,2017-11-17 18:57:56
17,42209.0,262600.0,221881.0,377.0,prize-winning widget opener,widget,1.65,2017-11-15 19:55:48,2017-11-17 18:57:56
18,42209.0,26653.0,221881.0,3033.0,widget opener,widget,1.5,2017-11-15 19:55:48,2017-11-17 18:57:56
19,281648.0,31359.0,73539.0,266.0,module,module,100.0,2015-06-28 03:02:01,2015-06-26 20:41:49
20,281648.0,119805.0,73539.0,3330.0,glossy module cleaner,module,72.0,2015-06-28 03:02:01,2015-06-26 20:41:49
21,281648.0,16132.0,73539.0,3254.0,reflective module carrying_case,module,78.0,2015-06-28 03:02:01,2015-06-26 20:41:49
22,281648.0,249012.0,73539.0,3904.0,reflective module opener,module,65.0,2015-06-28 03:02:01,2015-06-26 20:41:49
23,334281.0,68237.0,72243.0,2321.0,extra-strength instrument opener,instrument,44.0,2015-08-06 06:12:26,2015-08-04 09:48:08
24,290727.0,175160.0,108121.0,332.0,digital mechanism,mechanism,16.5,2016-03-06 23:32:23,2016-03-06 08:40:36
25,290727.0,89435.0,108121.0,1132.0,aerodynamic mechanism,mechanism,21.0,2016-03-06 23:32:23,2016-03-06 08:40:36
26,86000.0,238144.0,52574.0,1755.0,analog device carrying_case,device,27.0,2015-05-06 14:49:42,2015-05-07 12:10:39
